uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_27,24ur_35,2022-11-21 12:15,"Podobno, kot predsednik, bi moral imeti tudi župan omejeno število mandatov. Tiste majhne občine, kjer je pa samo en kandidat že leta, pa ukiniti.",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_28,24ur_36,2022-11-21 13:41,max 2 mandata za župane in poslance!,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_35
user_24ur_29,24ur_37,2022-11-21 12:09,Ljubljana je levičarska sramota Slovenije,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_30,24ur_38,2022-11-21 15:53,"Predlagam, da se odcepiš, kjerkoli že pač živiš, vsaj mentalno, če ne gre drugače. Pa nisem še nikoli volila Jankovića, ampak take izjave mi pa pritisk dvignejo... nenormalno. Raje sem levičarska sramota, odprta do vseh ljudi in načinov življenja, ki ljudi sodim po tem, kakšni so in kaj delajo, ne pa po tem, od kod so, kot pa nek zaplankan slovencelj, ki povsod vidi same sovražnike in ne ve drugega kot zmerjati, le sebe in svoje majhnosti ne vidi",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_37
user_24ur_31,24ur_39,2022-11-21 11:43,sramota za slovenijo ... in vsi tisti ki tega pokvarjenca podpirajo,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_17,24ur_40,2022-11-21 11:47,Čudno da vas Ljubljančani nočejo izvoliti.,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_39
user_24ur_32,24ur_41,2022-12-03 8:39,"Čoln ma, pa ziher si pecikle na morje fura. Tipičn slovenec.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_33,24ur_42,2022-12-01 13:58,Kaj koga zanima kaj ima kdo in kaj nima brigajte se zase,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_43,2022-11-30 16:09,"Kanglerju je izrazila podpiro SDS, kar pomeni, da bo zanesljivo zgubil. Zgleda, da se je Kangler zasral Janši, da ga je slednji za kazen podprl.",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_35,24ur_44,2022-11-30 15:30,"Sramota za 24 ur TV, da posadi Aresnovića za isto mizo s Kanglerjem. Slenjega ne bi smeli predstavljati kot običajnega kandidata , morda bi samo spomnili kako je vedeževalki uredil stanovanje in se ločil od žene....",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_34,24ur_45,2022-11-30 15:57,A si iz Dupleka?,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_44
user_24ur_36,24ur_46,2022-11-30 15:09,"Tole je pa zdaj že prava burleska. Za Kanglerja je vprašljivo lastništvo jahte, za predsednico države pa so bila miljonska podjetja v davčnih oazah čisto sprejemljiva, za nekatere celo pohvalna zadeva....",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_37,24ur_47,2022-11-30 15:58,"Kaj češ prvorazredni, drugorazredni, pa to....",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_46
user_24ur_38,24ur_48,2022-11-30 14:48,Slika na naslovnici me krepko prestrašila!,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
