uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_rtv_4,rtv_30,2022-12-05 19:48,"Moja dohodnina ne ge ne v zdravstveneno ne v pokojninsko blagajno, niti noben otrok ne živi bolje.Gre v en cel kup zadev, ki se ti zdijo samoumevne.Od zastonj šolanja otrok do ceste in lokalne policije, ki jo lahko pokličeš, če je sosed preveč glasen, do zdravstva, ki ni povsem plačano iz tvojega prispevka, do gasilcev in reševalcev. Plačevanje davkov sodi v to, da živijo v kolikor toliko spodobni državi.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_16,rtv_31,2022-12-5 19:02,"Zadnji udarec Alojzija, preden se sprehodi na zavod za zaposlovanje? Patetično, ampak drugega od Janšizma nj za pričakovati.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_8,rtv_14,2022-12-05 17:19,"Razbremenitev dela in obdavčitev kapitala je edina ekonomska logika in omogoča gospodarskirazvoj in rast. Ogdavčitev nepremičnin, progresivno po velikosti in zasedenosti, oprostitev davkovkmetijskih površin in kmetijskih nepremičnin. V trenutku bo na trgu veliko najemniških in rabljenastanovanja po realni ceni, podeželje pa se bo ohranilo in razvijalo.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_7
user_rtv_17,rtv_32,2022-12-5 15:48,Ti verjetno vsako noč še sanjaš Janšo,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_16,rtv_33,2022-12-05 19:08,"Nižji davki za tiste, ki služijo nad 5000 mesečno, ostalim pa Karitas? To je Janšizem.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_34
user_rtv_5,rtv_35,2022-12-5 17:41,Pobrani davki se v največji meri namenjajo za pokojninsko in zdravstveno zavarovanje.mladipodjetnik.si/novice-in-dogodki/novice/davcna-pogaca-kdo-jo-spece-in-kdo-poje,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_36
user_rtv_14,rtv_37,2022-12-05 17:25,"In luknja v porračunu bi bila 1 leto neznanka, ker nihče ni izračunal točnega vpliva kot je manjša potrošnja zaradi inflacije in recesije. Nepomembna reč",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_14,rtv_37,2022-12-05 17:25,"In luknja v porračunu bi bila 1 leto neznanka, ker nihče ni izračunal točnega vpliva kot je manjša potrošnja zaradi inflacije in recesije. Nepomembna reč",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_28
user_rtv_15,rtv_28,2022-12-05 16:33,Zaradi državnega sveta se ta država nikoli ne bo premaknila nikamor. Zato bomo ostali na status quo in stagnirali.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_2,rtv_38,2022-12-5 16:53,"ja itak, ker nabijanje davkov je pa res korak v pravo smer...",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_39
user_rtv_18,rtv_40,2022-12-5 16:30,Saj so si ljudje to sami izvolili....Ne zaj jamrat.....,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_19,rtv_41,2022-12-5 15:41,To je še stara desničarska sestava?,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_33
user_rtv_16,rtv_33,2022-12-05 19:08,"Nižji davki za tiste, ki služijo nad 5000 mesečno, ostalim pa Karitas? To je Janšizem.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_20,rtv_42,2022-12-05 19:57,"Nižji davki za tiste, ki služijo nad 5000 mesečno, ostalim pa Karitas? To je Janšizem....in razviti zahod! Golobizem pa = Venezula in S. Koreja.Pomeni - zaslužil bom 5000 eur, država mi jih bo 4000 vzela, da bom imel na koncu 1000, tako kot tisti z minimalcem. Zaenkrat še niso tako radikalni, ampak to so vsekakor dolgoroćne mokre sanje levičarjev... Samo ne vem, kdo bo potem še pripravljen študirati 15 let (recimo medicina) in opravljati dela z dodano vrednostjo... Ko ne bo v Sloveniji nobenega inženirja več - komu boste potem levičarji nabijali ultra davke?",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_19
user_rtv_12,rtv_19,2022-12-05 19:47,"Kdaj bo ukonjen DS? Zberemo 40000 podpisov za takojšnji referendum? Ker tole je metanje denarja skozi okno za mlatenje prazne slame in to za ljudi (od njih), ki so “delegirani”, ne izvoljeni.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_21,rtv_43,2022-12-5 19:48,"Povsem demokratično je, da svetniki presojajo o smiselnosti posameznih rešitev, ki jih sprejme državni zbor.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_44
